1,SH 16,5,1.792079208,5,5,1,1,1,2
2,Williamson Ave,4.428571429,1.574257426,5,5,1,1,1,1
3,Jervois Rd,4.642857143,1,5,5,1,1,1,2
4,195,3.785714286,2.871287129,4.043478261,4.176470588,2,3,2,3
5,85,3.857142857,2.871287129,3.695652174,4,2,3,2,3
6,135,3.857142857,2.871287129,3.52173913,4,2,3,2,3
7,90,3.857142857,2.871287129,2.47826087,4,2,3,2,3
8,Great North Rd,4.214285714,5,5,5,3,2,3,4
9,Te Ara I Whiti The Lightpath,3.785714286,5,4.391304348,5,3,2,3,4
10,Williamson Ave,4.285714286,5,5,5,3,2,3,4
11,Williamson Ave,1.142857143,5,1.173913043,1.117647059,3,2,3,4
12,Franklin Rd,1.071428571,5,1.086956522,1.058823529,3,2,3,4
13,Old Mill Rd and Franklin Rd,1,5,1,1,3,2,3,4
